===== No 20 Top 50 Capital Cities by Population Report =====
ID    City                           Country                                       Region                         Continent       Population  
79    Bratislava                Slovakia                                 Bratislava           Eastern Europe                 Europe          448292    
80    Skopje                    Macedonia                                Skopje               Southern Europe                Europe          444299    
81    Tallinn                   Estonia                                  Harjumaa             Baltic Countries               Europe          403981    
82    Sarajevo                  Bosnia and Herzegovina                   Federaatio           Southern Europe                Europe          360000    
83    Ljubljana                 Slovenia                                 Osrednjeslovenska    Southern Europe                Europe          270986    
84    Tirana                    Albania                                  Tirana               Southern Europe                Europe          270000    
85    Bruxelles [Brussel]       Belgium                                  Bryssel              Western Europe                 Europe          133859    
86    Bern                      Switzerland                              Bern                 Western Europe                 Europe          122700    
87    Reykjavík                 Iceland                                  Höfuðborgarsvæði     Nordic Countries               Europe          109184    
88    Luxembourg [Luxemburg/Lëtzebuerg] Luxembourg                               Luxembourg           Western Europe                 Europe          80700     
89    Gibraltar                 Gibraltar                                –                    Southern Europe                Europe          27025     
90    Andorra la Vella          Andorra                                  Andorra la Vella     Southern Europe                Europe          21189     
91    Tórshavn                  Faroe Islands                            Streymoyar           Nordic Countries               Europe          14542     
92    Valletta                  Malta                                    Inner Harbour        Southern Europe                Europe          7073      
93    Vaduz                     Liechtenstein                            Vaduz                Western Europe                 Europe          5043      
94    San Marino                San Marino                               San Marino           Southern Europe                Europe          2294      
95    Longyearbyen              Svalbard and Jan Mayen                   Länsimaa             Nordic Countries               Europe          1438      
96    Monaco-Ville              Monaco                                   –                    Western Europe                 Europe          1234      
97    Città del Vaticano        Holy See (Vatican City State)            –                    Southern Europe                Europe          455       
98    Ciudad de México          Mexico                                   Distrito Federal     Central America                North America   8591309   
99    La Habana                 Cuba                                     La Habana            Caribbean                      North America   2256000   
100   Santo Domingo de Guzmán   Dominican Republic                       Distrito Nacional    Caribbean                      North America   1609966   
101   Managua                   Nicaragua                                Managua              Central America                North America   959000    
102   Port-au-Prince            Haiti                                    Ouest                Caribbean                      North America   884472    
103   Ciudad de Guatemala       Guatemala                                Guatemala            Central America                North America   823301    
104   Tegucigalpa               Honduras                                 Distrito Central     Central America                North America   813900    
105   Washington                United States                            District of Columbia North America                  North America   572059    
106   Ciudad de Panamá          Panama                                   Panamá               Central America                North America   471373    
107   San Juan                  Puerto Rico                              San Juan             Caribbean                      North America   434374    
108   San Salvador              El Salvador                              San Salvador         Central America                North America   415346    
109   San José                  Costa Rica                               San José             Central America                North America   339131    
110   Ottawa                    Canada                                   Ontario              North America                  North America   335277    
111   Nassau                    Bahamas                                  New Providence       Caribbean                      North America   172000    
112   Kingston                  Jamaica                                  St. Andrew           Caribbean                      North America   103962    
113   Fort-de-France            Martinique                               Fort-de-France       Caribbean                      North America   94050     
114   Port-of-Spain             Trinidad and Tobago                      Port-of-Spain        Caribbean                      North America   43396     
115   Oranjestad                Aruba                                    –                    Caribbean                      North America   29034     
116   Saint John´s              Antigua and Barbuda                      St John              Caribbean                      North America   24000     
117   George Town               Cayman Islands                           Grand Cayman         Caribbean                      North America   19600     
118   Kingstown                 Saint Vincent and the Grenadines         St George            Caribbean                      North America   17100     
119   Roseau                    Dominica                                 St George            Caribbean                      North America   16243     
120   Nuuk                      Greenland                                Kitaa                North America                  North America   13445     
121   Charlotte Amalie          Virgin Islands, U.S.                     St Thomas            Caribbean                      North America   13000     
122   Basse-Terre               Guadeloupe                               Basse-Terre          Caribbean                      North America   12433     
123   Basseterre                Saint Kitts and Nevis                    St George Basseterre Caribbean                      North America   11600     
124   Road Town                 Virgin Islands, British                  Tortola              Caribbean                      North America   8000      
125   Belmopan                  Belize                                   Cayo                 Central America                North America   7105      
126   Bridgetown                Barbados                                 St Michael           Caribbean                      North America   6070      
127   Saint-Pierre              Saint Pierre and Miquelon                Saint-Pierre         North America                  North America   5808      
128   Cockburn Town             Turks and Caicos Islands                 Grand Turk           Caribbean                      North America   4800      
129   Saint George´s            Grenada                                  St George            Caribbean                      North America   4621      
130   Willemstad                Netherlands Antilles                     Curaçao              Caribbean                      North America   2345      
131   Castries                  Saint Lucia                              Castries             Caribbean                      North America   2301      
132   Plymouth                  Montserrat                               Plymouth             Caribbean                      North America   2000      
133   Hamilton                  Bermuda                                  Hamilton             North America                  North America   1200      
134   The Valley                Anguilla                                 –                    Caribbean                      North America   595       
135   Cairo                     Egypt                                    Kairo                Northern Africa                Africa          6789479   
136   Kinshasa                  Congo, The Democratic Republic of the    Kinshasa             Central Africa                 Africa          5064000   
137   Addis Abeba               Ethiopia                                 Addis Abeba          Eastern Africa                 Africa          2495000   
138   Nairobi                   Kenya                                    Nairobi              Eastern Africa                 Africa          2290000   
